series id,county,state,10y_change,county_state
ATNHPIUS06037A,Los Angeles County, CA,80.99842721500556,"Los Angeles County,  CA"
ATNHPIUS06059A,Orange County, CA,66.07825831126803,"Orange County,  CA"
ATNHPIUS36119A,Westchester County, NY,24.74857030171564,"Westchester County,  NY"
ATNHPIUS53033A,King County, WA,93.55834678268191,"King County,  WA"
ATNHPIUS06083A,Santa Barbara County, CA,61.0992197749085,"Santa Barbara County,  CA"
ATNHPIUS51059A,Fairfax County, VA,41.83087490147505,"Fairfax County,  VA"
ATNHPIUS12086A,Miami-Dade County, FL,103.96320844041658,"Miami-Dade County,  FL"
ATNHPIUS04013A,Maricopa County, AZ,130.1666810605406,"Maricopa County,  AZ"
ATNHPIUS06085A,Santa Clara County, CA,71.8201149877924,"Santa Clara County,  CA"
ATNHPIUS09001A,Fairfield County, CT,15.08270458502611,"Fairfield County,  CT"
ATNHPIUS15009A,Maui County, HI,71.06079970786926,"Maui County,  HI"
ATNHPIUS24510A,Baltimore city, MD,24.111137273369444,"Baltimore city,  MD"
ATNHPIUS51013A,Arlington County, VA,41.671972182770936,"Arlington County,  VA"
ATNHPIUS34003A,Bergen County, NJ,24.376678174146544,"Bergen County,  NJ"
ATNHPIUS12115A,Sarasota County, FL,120.20202020202022,"Sarasota County,  FL"
ATNHPIUS06073A,San Diego County, CA,82.07792207792207,"San Diego County,  CA"
ATNHPIUS24031A,Montgomery County, MD,28.846480548162408,"Montgomery County,  MD"
ATNHPIUS36081A,Queens County, NY,58.88080520759258,"Queens County,  NY"
ATNHPIUS04019A,Pima County, AZ,59.732296418156004,"Pima County,  AZ"
ATNHPIUS42101A,Philadelphia County, PA,45.45548600693187,"Philadelphia County,  PA"
ATNHPIUS42017A,Bucks County, PA,28.71875988611198,"Bucks County,  PA"
ATNHPIUS06041A,Marin County, CA,55.07148738678044,"Marin County,  CA"
ATNHPIUS48015A,Austin County, TX,55.24125329904581,"Austin County,  TX"
ATNHPIUS12011A,Broward County, FL,102.2168537729146,"Broward County,  FL"
ATNHPIUS06013A,Contra Costa County, CA,98.83683097445908,"Contra Costa County,  CA"
ATNHPIUS06097A,Sonoma County, CA,82.88156288156287,"Sonoma County,  CA"
ATNHPIUS06067A,Sacramento County, CA,111.05333648467656,"Sacramento County,  CA"
ATNHPIUS53061A,Snohomish County, WA,99.98536835174484,"Snohomish County,  WA"
ATNHPIUS36087A,Rockland County, NY,23.93883469549169,"Rockland County,  NY"
ATNHPIUS30063A,Missoula County, MT,65.16165343005443,"Missoula County,  MT"
ATNHPIUS06111A,Ventura County, CA,65.12005191434133,"Ventura County,  CA"
ATNHPIUS29189A,St. Louis County, MO,32.86564972673137,"St. Louis County,  MO"
ATNHPIUS12099A,Palm Beach County, FL,104.17029300841311,"Palm Beach County,  FL"
ATNHPIUS49035A,Salt Lake County, UT,98.68887046944465,"Salt Lake County,  UT"
ATNHPIUS06001A,Alameda County, CA,96.53136531365315,"Alameda County,  CA"
ATNHPIUS29053A,Cooper County, MO,41.597818902842015,"Cooper County,  MO"
ATNHPIUS06081A,San Mateo County, CA,69.84380675626588,"San Mateo County,  CA"
ATNHPIUS36103A,Suffolk County, NY,34.45742502709864,"Suffolk County,  NY"
ATNHPIUS55025A,Dane County, WI,42.74769797421732,"Dane County,  WI"
ATNHPIUS15007A,Kauai County, HI,65.68231441048034,"Kauai County,  HI"
ATNHPIUS42029A,Chester County, PA,29.67644747183652,"Chester County,  PA"
ATNHPIUS08013A,Boulder County, CO,87.90909818356407,"Boulder County,  CO"
ATNHPIUS49049A,Utah County, UT,99.46259131749096,"Utah County,  UT"
ATNHPIUS42003A,Allegheny County, PA,53.47712618974515,"Allegheny County,  PA"
ATNHPIUS17031A,Cook County, IL,21.11376554905677,"Cook County,  IL"
ATNHPIUS36059A,Nassau County, NY,40.26453007757855,"Nassau County,  NY"
ATNHPIUS37183A,Wake County, NC,58.51804433063935,"Wake County,  NC"
ATNHPIUS12103A,Pinellas County, FL,113.27049119964654,"Pinellas County,  FL"
ATNHPIUS48453A,Travis County, TX,120.07474263150475,"Travis County,  TX"
ATNHPIUS48201A,Harris County, TX,62.33625244264315,"Harris County,  TX"
ATNHPIUS06065A,Riverside County, CA,117.7519011406844,"Riverside County,  CA"
ATNHPIUS42069A,Lackawanna County, PA,16.969336111938063,"Lackawanna County,  PA"
ATNHPIUS06053A,Monterey County, CA,98.45484415238433,"Monterey County,  CA"
ATNHPIUS42077A,Lehigh County, PA,29.22528101231744,"Lehigh County,  PA"
ATNHPIUS12057A,Hillsborough County, FL,101.16666666666667,"Hillsborough County,  FL"
ATNHPIUS42091A,Montgomery County, PA,29.01045651619485,"Montgomery County,  PA"
ATNHPIUS53063A,Spokane County, WA,86.59294641104495,"Spokane County,  WA"
ATNHPIUS13135A,Gwinnett County, GA,84.93921430724404,"Gwinnett County,  GA"
ATNHPIUS51107A,Loudoun County, VA,50.26758908758649,"Loudoun County,  VA"
ATNHPIUS06071A,San Bernardino County, CA,108.04840298297458,"San Bernardino County,  CA"
ATNHPIUS25017A,Middlesex County, MA,54.355635383924565,"Middlesex County,  MA"
ATNHPIUS53053A,Pierce County, WA,92.41463913310162,"Pierce County,  WA"
ATNHPIUS17043A,DuPage County, IL,21.853619729514705,"DuPage County,  IL"
ATNHPIUS53035A,Kitsap County, WA,79.9042451324609,"Kitsap County,  WA"
ATNHPIUS55063A,La Crosse County, WI,41.32568322512455,"La Crosse County,  WI"
ATNHPIUS25019A,Nantucket County, MA,51.929028264906115,"Nantucket County,  MA"
ATNHPIUS42095A,Northampton County, PA,27.268524633469838,"Northampton County,  PA"
ATNHPIUS36055A,Monroe County, NY,40.706667752177815,"Monroe County,  NY"
ATNHPIUS42079A,Luzerne County, PA,18.62833861475781,"Luzerne County,  PA"
RPPSERVERENT31080,Regional Price Parities: Services: Housing for Los Angeles-Long Beach-Anaheim, CA (MSA),1.2664807373086557,"Regional Price Parities: Services: Housing for Los Angeles-Long Beach-Anaheim,  CA (MSA)"
ATNHPIUS12015A,Charlotte County, FL,107.93918918918916,"Charlotte County,  FL"
ATNHPIUS37035A,Catawba County, NC,39.43231441048036,"Catawba County,  NC"
ATNHPIUS48113A,Dallas County, TX,85.18010014537232,"Dallas County,  TX"
ATNHPIUS26123A,Newaygo County, MI,60.017652250661946,"Newaygo County,  MI"
ATNHPIUS36061A,New York County, NY,55.54486408467645,"New York County,  NY"
ATNHPIUS45019A,Charleston County, SC,72.78724573941724,"Charleston County,  SC"
ATNHPIUS06075A,San Francisco County, CA,63.10181024521763,"San Francisco County,  CA"
ATNHPIUS56039A,Teton County, WY,84.77783203125,"Teton County,  WY"
ATNHPIUS26103A,Marquette County, MI,38.56298942162384,"Marquette County,  MI"
ATNHPIUS48085A,Collin County, TX,93.15846629354273,"Collin County,  TX"
ATNHPIUS42045A,Delaware County, PA,26.125538300926543,"Delaware County,  PA"
ATNHPIUS51510A,Alexandria city, VA,41.6947004046609,"Alexandria city,  VA"
ATNHPIUS12071A,Lee County, FL,129.59941997462388,"Lee County,  FL"
ATNHPIUS20091A,Johnson County, KS,59.14432307183052,"Johnson County,  KS"
ATNHPIUS37063A,Durham County, NC,67.96519193233573,"Durham County,  NC"
ATNHPIUS16015A,Boise County, ID,91.59504734158776,"Boise County,  ID"
ATNHPIUS13121A,Fulton County, GA,67.50560248233064,"Fulton County,  GA"
ATNHPIUS12031A,Duval County, FL,71.25748502994013,"Duval County,  FL"
ATNHPIUS39035A,Cuyahoga County, OH,38.20852296235002,"Cuyahoga County,  OH"
ATNHPIUS30029A,Flathead County, MT,77.00024467824812,"Flathead County,  MT"
ATNHPIUS21067A,Fayette County, KY,44.81301830699421,"Fayette County,  KY"
RPPSERVERENTUSNMP,Regional Price Parities: Services: Housing: Nonmetropolitan Portion for United States,,-7.489884794761716,
ATNHPIUS55079A,Milwaukee County, WI,30.48695517535033,"Milwaukee County,  WI"
ATNHPIUS12109A,St. Johns County, FL,80.78078078078077,"St. Johns County,  FL"
ATNHPIUS37119A,Mecklenburg County, NC,77.97360507851654,"Mecklenburg County,  NC"
ATNHPIUS06061A,Placer County, CA,91.80022664723975,"Placer County,  CA"
ATNHPIUS19147A,Palo Alto County, IA,34.57000613789811,"Palo Alto County,  IA"
ATNHPIUS08117A,Summit County, CO,74.4848484848485,"Summit County,  CO"
ATNHPIUS48167A,Galveston County, TX,80.21985969480001,"Galveston County,  TX"
ATNHPIUS26125A,Oakland County, MI,84.59721857780109,"Oakland County,  MI"
ATNHPIUS17097A,Lake County, IL,14.995087969991955,"Lake County,  IL"
ATNHPIUS37055A,Dare County, NC,41.89117802430005,"Dare County,  NC"
ATNHPIUS17143A,Peoria County, IL,3.3598659405111064,"Peoria County,  IL"
ATNHPIUS24017A,Charles County, MD,27.835251519462055,"Charles County,  MD"
ATNHPIUS08005A,Arapahoe County, CO,117.18381418980222,"Arapahoe County,  CO"
ATNHPIUS48121A,Denton County, TX,91.36971509261565,"Denton County,  TX"
ATNHPIUS27019A,Carver County, MN,41.34873505246887,"Carver County,  MN"
ATNHPIUS22071A,Orleans Parish, LA,56.10750310902306,"Orleans Parish,  LA"
ATNHPIUS08031A,Denver County, CO,106.68972565049921,"Denver County,  CO"
ATNHPIUS56001A,Albany County, WY,37.95928818333121,"Albany County,  WY"
ATNHPIUS55021A,Columbia County, WI,33.04506505871151,"Columbia County,  WI"
ATNHPIUS37129A,New Hanover County, NC,46.118430372574004,"New Hanover County,  NC"
ATNHPIUS21049A,Clark County, KY,34.71795700662679,"Clark County,  KY"
ATNHPIUS26163A,Wayne County, MI,79.31805477920625,"Wayne County,  MI"
ATNHPIUS16055A,Kootenai County, ID,119.79780396357793,"Kootenai County,  ID"
ATNHPIUS12001A,Alachua County, FL,47.380424866414685,"Alachua County,  FL"
ATNHPIUS32003A,Clark County, NV,136.04603370324705,"Clark County,  NV"
ATNHPIUS06029A,Kern County, CA,85.6757162141893,"Kern County,  CA"
ATNHPIUS18089A,Lake County, IN,38.70533837746953,"Lake County,  IN"
ATNHPIUS48029A,Bexar County, TX,72.02772720907437,"Bexar County,  TX"
ATNHPIUS34017A,Hudson County, NJ,56.17112045979734,"Hudson County,  NJ"
ATNHPIUS47037A,Davidson County, TN,98.03921568627449,"Davidson County,  TN"
ATNHPIUS51087A,Henrico County, VA,40.609068956265084,"Henrico County,  VA"
ATNHPIUS12021A,Collier County, FL,112.02350698856416,"Collier County,  FL"
ATNHPIUS24005A,Baltimore County, MD,21.883337375697312,"Baltimore County,  MD"
ATNHPIUS05007A,Benton County, AR,65.27559705809438,"Benton County,  AR"
ATNHPIUS30049A,Lewis and Clark County, MT,54.94498663517125,"Lewis and Clark County,  MT"
ATNHPIUS22125A,West Feliciana Parish, LA,33.48003571884169,"West Feliciana Parish,  LA"
ATNHPIUS08041A,El Paso County, CO,85.11184157780805,"El Paso County,  CO"
ATNHPIUS16001A,Ada County, ID,150.0596801145858,"Ada County,  ID"
ATNHPIUS32031A,Washoe County, NV,134.67865168539325,"Washoe County,  NV"
ATNHPIUS48157A,Fort Bend County, TX,65.06597954243774,"Fort Bend County,  TX"
ATNHPIUS36029A,Erie County, NY,57.69884055830441,"Erie County,  NY"
ATNHPIUS55083A,Oconto County, WI,33.947075447460826,"Oconto County,  WI"
ATNHPIUS45045A,Greenville County, SC,59.87198424421467,"Greenville County,  SC"
